title,company,location,posted_time,description,link
Data Scientist - Machine Learning...,PwC,"New York, NY",9 hours ago,"A career in our Investigative Analytics practice, within Forensics Technology services, will provide you with the opportunity to help...",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Machine-Learning-Fraud-Analytics-%26%2345-Senior-Manager-PwC-New-York-NY-10016/10104943/903388
Data Scientist - Machine Learning...,PwC,"New York, NY",9 hours ago,"A career in our Investigative Analytics practice, within Forensics Technology services, will provide you with the opportunity to help...",https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Machine-Learning-Fraud-Analytics-%26%2345-Manager-PwC-New-York-NY-10016/10104943/903382
Lead Data Scientist,New York Life Insurance Company,"New York, NY",10 hours ago,A career at New York Life offers many opportunities. To be part of a growing and successful business. To reach,https://www.dice.com/jobs/detail/Lead-Data-Scientist-New-York-Life-Insurance-Company-New-York-NY-10001/10127844a/81072%26%2345en_US
Sr. Data Scientist,Yoh - A Day & Zimmerman Company,"New York, NY",11 hours ago,"The Data Scientist- AI/Machine Learning role is responsible for understanding data, machine learning and incorporating it within our...",https://www.dice.com/jobs/detail/Sr.-Data-Scientist-Yoh-%26%2345-A-Day-%26-Zimmerman-Company-New-York-NY-10001/10107614/227955
Junior Data Scientist -...,Visionaire Partners,"New York, NY",6 days ago,Data Scientist - NYC Exciting opportunity to work with a global technology leader as a Data Scientist engineer building out,https://www.dice.com/jobs/detail/Junior-Data-Scientist-%26%2345-BHJOB2052_16408-Visionaire-Partners-New-York-NY-10001/10294321/16408
Data Scientist,Blue Rock Consulting,"New York, NY",1 week ago,"Principle Scientist, Data Governance Fulltime Senior Principle Data Scientist needed for leading firm located in NYC. In this role you",https://www.dice.com/jobs/detail/Data-Scientist-Blue-Rock-Consulting-New-York-NY-10001/91012318/6340221
Data Scientist - M,Next Step Systems,"New York, NY",22 hours ago,Data Scientist Ready to hire! Fantastic opportunity with a very successful company with cutting-edge technology and a staff consisting...,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-M-Next-Step-Systems-New-York-NY-10001/NEXIL001/6330057
Data Scientist,Net2Source Inc.,"Union Beach, NJ",3 weeks ago,"Net2Source is a Global Workforce Solutions Company headquartered at NJ, USA with its branch offices in Asia Pacific Region. We",https://www.dice.com/jobs/detail/Data-Scientist-Net2Source-Inc.-Union-Beach-NJ-07735/10271304/6334498
Data Scientist,Reliable Software Resources,"New York, NY",2 weeks ago,"Hi , Please find below JD and let me know for your interest Job title :Data Scientist Location : NYC",https://www.dice.com/jobs/detail/Data-Scientist-Reliable-Software-Resources-New-York-NY-10001/10122703/6336400
Lead Data Scientist,CSI Tech Inc.,"Parsippany, NJ",8 hours ago,"Title: Lead Data Scientist Location: Parsippany,NJ Duration: 12mo + Contract Job Summary: The Data Scientist will be working in the",https://www.dice.com/jobs/detail/Lead-Data-Scientist-CSI-Tech-Inc.-Parsippany-NJ-07097/10113246/44509
